show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,imdb_score
s288,Movie,Adventure Quest 91,Emily Davis,"Emma Smith, Oliver Green, Ava Clark, Isabella Adams, Benjamin Turner","Australia, Germany","December 02, 2018",2008,PG-13,190 min,"Sci-Fi & Fantasy, Action & Adventure",A sci-fi epic,8.8
s289,Movie,Drama Queen 99,Emily Davis,"Chloe Lopez, Olivia Brown",France,"May 21, 2024",1991,NR,182 min,"Action & Adventure, Crime, Comedy",An animated adventure,7.9
s290,Movie,Biography Life 17,Sarah Johnson,"Noah White, Emma Smith, Ryan Davis, Ethan Rodriguez",Argentina,"August 24, 2023",1995,,113 min,"Family, Thriller",An animated adventure,8.0
s291,Movie,Romance Road 88,Amanda White,"William Thompson, Matt Anderson, Isabella Adams, Oliver Green",Russia,"January 05, 2016",2013,TV-Y7,169 min,"Musical, Documentary",A musical journey,6.8
s292,Movie,Fantasy Land 11,,,South Korea,"March 06, 2021",1992,TV-PG,168 min,Animation,A sci-fi epic,
s293,TV Show,Sci-Fi Chronicles 2,Kevin Young,"Ethan Rodriguez, Emma Smith, Ryan Davis","Netherlands, Taiwan","June 30, 2023",2006,PG-13,4 Seasons,"Animation, Horror",A thrilling adventure story,
s294,Movie,Dark Night 2,Jessica Turner,"Amelia Moore, Isabella Adams, Chloe Lopez, Ava Clark, Ethan Rodriguez",Spain,"February 26, 2015",1991,R,66 min,"Documentary, Biography",A crime investigation story,5.9
s295,Movie,Musical Dreams 19,John Smith,"Oliver Green, Isabella Adams, Benjamin Turner",,"January 16, 2020",2002,TV-Y7,73 min,Biography,An animated adventure,7.3
s296,Movie,War Stories 38,,"Grace Martinez, Emma Smith, William Thompson, Tom Johnson, Mia Young",Nigeria,"January 05, 2025",2020,TV-14,148 min,Romance,An action-packed thriller,6.6
s297,TV Show,Sci-Fi Chronicles 15,Christopher Lee,"Jake Wilson, Chloe Lopez, Ethan Rodriguez, Mia Young, Ava Clark","Brazil, Turkey","March 02, 2018",1995,PG-13,3 Seasons,"Horror, Biography",An animated adventure,5.5
s298,Movie,Action Hero 3,,"Sophie Taylor, William Thompson, Emma Smith",Germany,"December 04, 2021",2025,NC-17,147 min,"Historical, Animation",A musical journey,7.3
s299,Movie,Dark Night 91,,"Olivia Brown, Amelia Moore, Benjamin Turner, Emma Smith, Charlotte Miller",Turkey,"March 20, 2025",2008,TV-PG,187 min,Mystery,A mysterious drama series,
s300,Movie,Horror House 57,John Smith,"Noah White, Chloe Lopez, William Thompson, Sophie Taylor, Ryan Davis","Poland, Denmark","January 22, 2022",1999,TV-PG,167 min,Biography,A documentary about life,9.0
s301,Movie,Fantasy Land 88,John Smith,"William Thompson, Ryan Davis",Brazil,"November 13, 2019",1992,TV-MA,98 min,Western,A documentary about life,7.7
s302,Movie,War Stories 39,,"Luke Garcia, William Thompson",Switzerland,"January 02, 2020",2024,TV-14,173 min,"War & Military, Sci-Fi & Fantasy, Family",A crime investigation story,7.9
s303,Movie,Comedy Central 67,Jennifer Lopez,"William Thompson, Noah White, Sophie Taylor, Tom Johnson","Colombia, Argentina","May 01, 2024",2017,PG,75 min,Western,A thrilling adventure story,8.9
s304,Movie,Musical Dreams 39,John Smith,"Benjamin Turner, Amelia Moore, Charlotte Miller",Indonesia,"March 11, 2018",1998,TV-PG,123 min,"Sci-Fi & Fantasy, Mystery",A mysterious drama series,8.4
s305,TV Show,Mystery Show 6,,"Matt Anderson, Oliver Green, Ryan Davis, Ava Clark, Ethan Rodriguez",Switzerland,"October 11, 2024",2021,TV-G,8 Seasons,Romance,A mysterious drama series,6.7
s306,TV Show,Fantasy World 33,Emily Davis,"Isabella Adams, Emma Smith, Sophie Taylor, Ava Clark, Olivia Brown",Germany,"February 22, 2019",1992,PG,6 Seasons,Family,A mysterious drama series,
s307,Movie,Biography Life 54,,"Matt Anderson, Sophie Taylor, Isabella Adams, Tom Johnson",India,"September 07, 2019",2009,TV-Y,156 min,"Thriller, Historical",An animated adventure,7.6
s308,Movie,Comedy Central 94,,"Ethan Rodriguez, Grace Martinez, Amelia Moore, Noah White, Emma Smith","Nigeria, Canada","September 16, 2024",1991,NR,139 min,Historical,A sci-fi epic,8.1
s309,TV Show,Family Show 34,Jessica Turner,"Olivia Brown, Charlotte Miller",Turkey,"October 01, 2017",2018,TV-PG,10 Seasons,"Sports, Action & Adventure",A mysterious drama series,8.5
s310,Movie,Thriller Night 49,Emily Davis,"Chloe Lopez, Jake Wilson, Sophie Taylor",Indonesia,"July 27, 2019",1993,TV-Y,106 min,War & Military,A mysterious drama series,6.0
s311,Movie,Documentary Life 16,,"Isabella Adams, William Thompson, Benjamin Turner",South Korea,"July 27, 2018",2016,,67 min,Action & Adventure,A sci-fi epic,5.7
s312,Movie,War Stories 84,Jennifer Lopez,"Ryan Davis, William Thompson, Matt Anderson, Jake Wilson, Ava Clark",Argentina,"January 10, 2021",2025,G,178 min,"Romance, Action & Adventure",An animated adventure,5.7
s313,Movie,Documentary Life 45,Robert Taylor,"Emma Smith, Sophie Taylor, Charlotte Miller, Ryan Davis",Germany,"April 24, 2024",2025,TV-Y7,113 min,"Crime, Historical, Animation",A musical journey,5.7
s314,TV Show,Adventure Time 22,Laura Miller,"Tom Johnson, Isabella Adams, Amelia Moore",Poland,"March 26, 2021",2021,TV-PG,2 Seasons,"Drama, Action & Adventure",A historical drama,5.1
s315,TV Show,Animation Fun 25,Amanda White,"Olivia Brown, Oliver Green",United States,"June 26, 2017",2007,NR,6 Seasons,"Family, Documentary",An animated adventure,4.7
s316,Movie,Crime Scene 91,Robert Taylor,,Germany,"October 03, 2024",2022,TV-PG,109 min,"Romance, Drama",A musical journey,
s317,Movie,Sci-Fi Future 73,Anthony Green,"Matt Anderson, Tom Johnson, Charlotte Miller, Luke Garcia","United States, Russia","March 10, 2022",1993,TV-Y,170 min,Horror,An animated adventure,6.9
s318,Movie,Action Hero 93,James Martinez,"Noah White, Tom Johnson, Ethan Rodriguez, Matt Anderson, Amelia Moore",United Kingdom,"April 09, 2023",2017,R,110 min,Horror,,4.6
s319,Movie,Thriller Night 33,Jessica Turner,"Emma Smith, Noah White, William Thompson, Grace Martinez","China, France","January 05, 2022",1997,G,68 min,"Drama, Thriller, Comedy",An animated adventure,
s320,Movie,Sports Champion 81,Emily Davis,"Chloe Lopez, Ethan Rodriguez",Poland,"August 12, 2017",1990,TV-G,169 min,"Crime, Action & Adventure",A dark horror story,5.0
s321,Movie,The Mystery 77,Mark Thompson,"Benjamin Turner, Jake Wilson, William Thompson",China,"January 31, 2017",1992,,139 min,"Mystery, Family",A crime investigation story,5.2
s322,TV Show,Action Pack 39,Amanda White,"Emma Smith, Grace Martinez, William Thompson",South Korea,"September 25, 2019",2002,R,2 Seasons,"Musical, Crime",A sci-fi epic,7.4
s323,Movie,Animation World 43,Kevin Young,"Isabella Adams, Grace Martinez",Thailand,"March 25, 2020",2005,TV-Y,156 min,Action & Adventure,A heartwarming family tale,7.1
s324,Movie,Comedy Central 38,Mark Thompson,"Emma Smith, Tom Johnson, Matt Anderson, Charlotte Miller",Colombia,"January 23, 2023",2025,R,65 min,Horror,,6.3
s325,TV Show,Documentary Series 8,Robert Taylor,"Ava Clark, Amelia Moore, Sophie Taylor","Russia, Japan, Germany","August 14, 2016",1998,R,9 Seasons,Biography,An action-packed thriller,8.1
s326,TV Show,Family Show 13,,,"Singapore, Turkey, Canada","October 19, 2023",1994,TV-Y7,9 Seasons,"Romance, Crime",A crime investigation story,7.9
s327,Movie,Crime Scene 61,Daniel Clark,"Matt Anderson, Grace Martinez",Argentina,"June 10, 2019",2017,TV-14,100 min,Historical,A heartwarming family tale,6.9
s328,Movie,Drama Queen 75,,"Mia Young, Oliver Green, Benjamin Turner, Amelia Moore","Netherlands, Nigeria","April 16, 2019",2018,TV-MA,79 min,Western,A historical drama,
s329,Movie,Sci-Fi Future 30,,"Charlotte Miller, Matt Anderson",Colombia,"May 24, 2018",2007,TV-14,95 min,"Historical, Animation",,8.4
s330,Movie,Documentary Life 52,,"Ethan Rodriguez, Grace Martinez, Benjamin Turner",Thailand,"October 13, 2020",2025,NR,178 min,Sci-Fi & Fantasy,A musical journey,6.6
s331,Movie,War Stories 4,,"Tom Johnson, Isabella Adams, Ava Clark, Noah White",Switzerland,"July 22, 2023",2024,TV-14,65 min,Thriller,A dark horror story,8.3
s332,TV Show,Musical Show 39,Daniel Clark,"Ethan Rodriguez, Ryan Davis, Charlotte Miller",Sweden,"May 21, 2021",2009,PG,9 Seasons,"Sports, Action & Adventure",A heartwarming family tale,6.3
s333,Movie,Horror House 30,Anthony Green,"Ava Clark, William Thompson",,"August 31, 2018",2016,PG,93 min,Drama,An action-packed thriller,
s334,Movie,Horror House 40,Jessica Turner,"Benjamin Turner, Matt Anderson, William Thompson, Oliver Green",Australia,"December 31, 2019",2015,R,194 min,"Sports, Musical",A thrilling adventure story,5.9
s335,Movie,Musical Dreams 45,Jennifer Lopez,"Mia Young, Grace Martinez, Sophie Taylor","Taiwan, Belgium","March 19, 2025",1996,G,121 min,Historical,A heartwarming family tale,7.9
s336,Movie,Horror House 64,Nicole Adams,"Ryan Davis, Olivia Brown, William Thompson, Noah White",Turkey,"September 03, 2020",1991,,178 min,"Sci-Fi & Fantasy, War & Military",A romantic comedy,
s337,TV Show,Musical Show 9,Kevin Young,"Ryan Davis, Charlotte Miller","China, Spain","April 12, 2020",2000,G,10 Seasons,Historical,A mysterious drama series,
s338,TV Show,Documentary Series 1,David Wilson,"Matt Anderson, Emma Smith, Charlotte Miller",Egypt,"March 10, 2022",1996,NC-17,8 Seasons,War & Military,An action-packed thriller,5.6
s339,Movie,Love Story 3,John Smith,"Ryan Davis, Grace Martinez, Olivia Brown","Brazil, India","August 30, 2019",2010,TV-MA,108 min,"War & Military, Biography, Horror",A heartwarming family tale,5.3
s340,Movie,Documentary Life 84,Daniel Clark,"Ryan Davis, Luke Garcia, Ava Clark","Poland, Indonesia","August 10, 2023",1996,TV-14,103 min,Crime,A musical journey,8.8
s341,Movie,Comedy Central 43,Christopher Lee,"Ryan Davis, Noah White, Tom Johnson, Oliver Green, Ethan Rodriguez","Malaysia, United States","August 10, 2017",1997,NR,169 min,"Comedy, Thriller",A romantic comedy,6.3
s342,Movie,Action Hero 31,Laura Miller,"Noah White, Jake Wilson, Luke Garcia, Amelia Moore, Emma Smith","Philippines, United Kingdom, Thailand","July 01, 2024",2011,TV-PG,73 min,"Documentary, Historical",A documentary about life,5.4
s343,Movie,The Mystery 9,Michael Brown,"Jake Wilson, Matt Anderson",Turkey,"August 25, 2017",2017,NC-17,102 min,Romance,A romantic comedy,6.6
s344,Movie,Horror House 35,Jessica Turner,"Ethan Rodriguez, Amelia Moore, Sophie Taylor, Isabella Adams",Russia,"July 12, 2023",2020,,157 min,Family,A mysterious drama series,5.3
s345,Movie,Documentary Life 60,Jennifer Lopez,"Ryan Davis, Noah White, Jake Wilson, Isabella Adams, Matt Anderson",United States,"August 30, 2024",2013,TV-Y7,161 min,Sports,A sci-fi epic,
s346,Movie,Action Hero 16,Mark Thompson,"Luke Garcia, Ava Clark, William Thompson, Isabella Adams, Benjamin Turner",Russia,"April 02, 2023",2020,,152 min,"Thriller, Animation",A historical drama,
s347,Movie,Drama Queen 78,Lisa Anderson,,Belgium,"June 17, 2019",1995,R,168 min,Family,A crime investigation story,6.3
s348,Movie,Romance Road 94,,"Jake Wilson, Luke Garcia, Matt Anderson, Ethan Rodriguez",,"February 26, 2024",1996,,166 min,"Biography, Romance",A mysterious drama series,5.4
s349,Movie,Adventure Quest 65,Kevin Young,"Sophie Taylor, Matt Anderson, Emma Smith","Italy, Colombia","February 12, 2025",2018,TV-14,87 min,Family,A heartwarming family tale,6.1
s350,Movie,Biography Life 31,Emily Davis,,"India, France, Turkey","November 09, 2020",2014,NC-17,184 min,Biography,A historical drama,9.2
s351,Movie,Drama Queen 47,Daniel Clark,"Noah White, Olivia Brown, Tom Johnson, Oliver Green",Spain,"April 16, 2015",2023,NR,123 min,"Sports, Western",An action-packed thriller,
s352,TV Show,Crime Investigation 21,,"Noah White, Oliver Green",Canada,"November 27, 2018",2020,NR,2 Seasons,Sci-Fi & Fantasy,A crime investigation story,8.2
s353,Movie,Fantasy Land 5,Michael Brown,"Sophie Taylor, Oliver Green, Olivia Brown, Isabella Adams, Grace Martinez",Canada,"March 08, 2016",1991,TV-Y,158 min,Animation,A historical drama,
s354,Movie,Comedy Central 69,Jessica Turner,"Grace Martinez, Benjamin Turner, Ryan Davis, Noah White","Belgium, Russia","January 25, 2024",2006,PG,88 min,"Sci-Fi & Fantasy, Horror",A mysterious drama series,9.0
s355,Movie,Biography Life 95,,"Ethan Rodriguez, Mia Young, Noah White","Spain, Egypt","June 11, 2022",2004,G,197 min,Family,An animated adventure,5.2
s356,Movie,Romance Road 19,Sarah Johnson,"William Thompson, Olivia Brown, Luke Garcia, Isabella Adams",Philippines,"November 24, 2022",1993,TV-Y,99 min,Documentary,A thrilling adventure story,8.1
s357,Movie,Crime Scene 94,Lisa Anderson,"Noah White, Mia Young, Isabella Adams, Ava Clark, Ethan Rodriguez",Philippines,"March 02, 2018",2002,TV-PG,160 min,Comedy,A musical journey,7.6
s358,Movie,Biography Life 18,Jessica Turner,"Matt Anderson, Amelia Moore, Benjamin Turner",France,"August 10, 2022",1999,TV-Y7,103 min,Sports,A thrilling adventure story,
s359,TV Show,Sci-Fi Chronicles 42,Michelle Rodriguez,"Grace Martinez, Emma Smith, Olivia Brown, Amelia Moore, Ethan Rodriguez",Mexico,"April 27, 2022",1995,TV-MA,7 Seasons,"Mystery, Action & Adventure",A heartwarming family tale,
s360,Movie,Fantasy Land 29,,"Luke Garcia, Olivia Brown, Sophie Taylor, Ethan Rodriguez, Isabella Adams","Indonesia, Spain","February 12, 2016",2024,NR,65 min,"Western, Sports",A sci-fi epic,8.3
s361,Movie,Dark Night 97,Emily Davis,"Tom Johnson, Charlotte Miller, Oliver Green",Spain,"June 13, 2021",2000,NC-17,68 min,Family,A crime investigation story,9.1
s362,Movie,The Mystery 32,Anthony Green,"Charlotte Miller, Oliver Green, Jake Wilson, Isabella Adams",Norway,"October 18, 2021",2003,TV-MA,71 min,Family,An action-packed thriller,7.3
s363,Movie,Horror House 76,David Wilson,"Ryan Davis, Charlotte Miller, Luke Garcia, Benjamin Turner, Ethan Rodriguez",Taiwan,"December 08, 2015",2017,PG-13,197 min,"Animation, Sci-Fi & Fantasy",A sci-fi epic,8.4
s364,Movie,Sports Champion 21,David Wilson,"Ethan Rodriguez, Tom Johnson, Grace Martinez, Ryan Davis, Luke Garcia",Poland,"September 28, 2015",1995,TV-Y,129 min,"Animation, Action & Adventure",An action-packed thriller,5.0
s365,TV Show,Musical Show 8,Jennifer Lopez,"Olivia Brown, William Thompson, Ava Clark, Chloe Lopez, Luke Garcia","Brazil, Netherlands","August 12, 2025",2001,NR,9 Seasons,"War & Military, Sports, Thriller",A historical drama,5.2
s366,Movie,Comedy Central 19,James Martinez,"Grace Martinez, Mia Young, Oliver Green, Sophie Taylor",Taiwan,"August 19, 2020",2017,NR,118 min,"Family, Biography, Crime",A historical drama,
s367,TV Show,Fantasy World 16,Lisa Anderson,"Chloe Lopez, Charlotte Miller","United States, Russia","August 05, 2022",1998,TV-PG,9 Seasons,Sci-Fi & Fantasy,A musical journey,
s368,TV Show,Horror Tales 45,Amanda White,"Amelia Moore, Oliver Green",Egypt,"February 18, 2025",1994,PG-13,9 Seasons,Sports,A dark horror story,6.1
s369,Movie,Drama Queen 70,Emily Davis,"Chloe Lopez, Luke Garcia, Matt Anderson, Tom Johnson, Ethan Rodriguez",Malaysia,"April 05, 2024",2019,TV-G,74 min,"Crime, Family",A thrilling adventure story,7.9
s370,Movie,Documentary Life 46,,"Ryan Davis, William Thompson, Benjamin Turner",Singapore,"January 29, 2015",2006,TV-Y7,155 min,Romance,A romantic comedy,
s371,Movie,Musical Dreams 85,Lisa Anderson,"Tom Johnson, Ava Clark, Matt Anderson, Olivia Brown, Charlotte Miller",Poland,"May 06, 2023",1992,R,182 min,"Horror, Biography, Sports",A historical drama,6.0
s372,Movie,Documentary Life 65,Daniel Clark,"Tom Johnson, Jake Wilson",Argentina,"August 02, 2015",2011,TV-14,62 min,Sports,A documentary about life,5.2
s373,Movie,Fantasy Land 24,Emily Davis,"Mia Young, Matt Anderson, Isabella Adams","Malaysia, Mexico","February 11, 2017",1999,PG-13,162 min,"Thriller, Biography, Action & Adventure",A heartwarming family tale,6.3
s374,Movie,Fantasy Land 40,Maria Garcia,"Isabella Adams, Emma Smith, William Thompson, Mia Young, Benjamin Turner",Nigeria,"July 29, 2025",2016,G,106 min,Crime,An animated adventure,7.4
s375,Movie,Animation World 24,Jessica Turner,"Olivia Brown, Amelia Moore, Tom Johnson, Jake Wilson","Denmark, Egypt","October 12, 2021",2007,TV-Y7,82 min,Horror,A historical drama,5.4
s376,Movie,Musical Dreams 13,,"Chloe Lopez, Isabella Adams, Matt Anderson, Jake Wilson",Colombia,"December 30, 2024",2025,TV-Y,174 min,Biography,A documentary about life,9.0
s377,TV Show,Documentary Series 2,James Martinez,"Chloe Lopez, Emma Smith, Benjamin Turner",Switzerland,"July 20, 2020",2022,PG-13,8 Seasons,War & Military,A romantic comedy,4.5
s378,Movie,Biography Life 28,John Smith,"William Thompson, Amelia Moore, Luke Garcia, Chloe Lopez, Grace Martinez",Germany,"December 01, 2016",2024,G,97 min,Thriller,A thrilling adventure story,5.7
s379,TV Show,Animation Fun 14,John Smith,"Noah White, Ryan Davis, Charlotte Miller, Luke Garcia",Philippines,"August 22, 2018",1990,R,5 Seasons,"Historical, Horror, War & Military",A romantic comedy,7.5
s380,Movie,War Stories 27,Maria Garcia,"Benjamin Turner, Ethan Rodriguez, Jake Wilson","Russia, Denmark","August 30, 2016",1995,TV-G,107 min,Sports,A mysterious drama series,4.6
s381,Movie,Adventure Quest 23,Laura Miller,"Ryan Davis, Mia Young, Grace Martinez",Switzerland,"February 15, 2016",1998,G,85 min,Action & Adventure,A historical drama,5.1
s382,Movie,Love Story 35,Laura Miller,,"France, Israel, Sweden","July 24, 2024",2002,TV-14,173 min,Sports,A thrilling adventure story,5.8
s383,Movie,War Stories 16,,,Poland,"August 03, 2016",,R,169 min,Family,A historical drama,8.7
s384,TV Show,Animation Fun 8,Emily Davis,"Ava Clark, Ryan Davis, Noah White, Olivia Brown","Canada, India","October 12, 2021",2017,TV-14,3 Seasons,Family,A romantic comedy,5.0
s385,TV Show,Musical Show 32,James Martinez,"Tom Johnson, Jake Wilson",Australia,"May 19, 2019",2020,PG,10 Seasons,"Thriller, Drama",A mysterious drama series,6.3
s386,TV Show,Adventure Time 32,Michelle Rodriguez,"Jake Wilson, Grace Martinez, Ethan Rodriguez, Mia Young",Singapore,"December 21, 2020",2004,TV-14,7 Seasons,"Documentary, Drama",A thrilling adventure story,8.5
s387,Movie,Family Fun 72,,"Ava Clark, Amelia Moore",,"February 29, 2020",2025,TV-Y7,122 min,Thriller,A musical journey,6.3
s388,Movie,The Mystery 90,Amanda White,"Benjamin Turner, Ryan Davis",Brazil,"May 04, 2015",1999,,79 min,"Biography, Thriller",An animated adventure,8.0
s389,TV Show,Fantasy World 20,Christopher Lee,"Chloe Lopez, Olivia Brown","India, Mexico","August 23, 2020",2015,TV-MA,8 Seasons,"Western, Family",A documentary about life,5.8
s390,TV Show,Mystery Show 34,David Wilson,"Amelia Moore, Emma Smith, Grace Martinez, Ethan Rodriguez, Sophie Taylor","Japan, Taiwan, Hong Kong","July 06, 2018",2015,PG-13,1 Season,"Sci-Fi & Fantasy, Animation",A heartwarming family tale,8.2
s391,TV Show,Adventure Time 2,Lisa Anderson,"Matt Anderson, Tom Johnson",Italy,"February 27, 2022",2005,TV-14,10 Seasons,"Sports, Comedy, Western",A romantic comedy,
s392,Movie,Family Fun 97,Daniel Clark,"Ethan Rodriguez, Ava Clark, Jake Wilson, Olivia Brown","Malaysia, France","August 18, 2020",1999,,157 min,"Comedy, Family, Romance",An animated adventure,
s393,Movie,Love Story 92,Robert Taylor,"Sophie Taylor, William Thompson, Benjamin Turner",Egypt,"June 07, 2025",2018,TV-Y,134 min,"Biography, Comedy, War & Military",A sci-fi epic,9.0
s394,TV Show,Family Show 41,Emily Davis,"Chloe Lopez, Charlotte Miller, Ryan Davis",Brazil,"June 22, 2025",1994,TV-Y,6 Seasons,Musical,An animated adventure,8.1
s395,Movie,Musical Dreams 84,Emily Davis,"Emma Smith, Ava Clark, Chloe Lopez, Ethan Rodriguez, Mia Young","Spain, China","February 11, 2019",2010,TV-MA,165 min,Comedy,A historical drama,
s396,TV Show,Documentary Series 16,Nicole Adams,,Brazil,"May 24, 2021",1994,TV-G,2 Seasons,Historical,An animated adventure,
s397,TV Show,Comedy Hour 47,Daniel Clark,"Ethan Rodriguez, Noah White, Ryan Davis","Singapore, Turkey, Hong Kong","April 13, 2016",1992,TV-G,3 Seasons,Comedy,A documentary about life,
s398,Movie,Family Fun 56,Robert Taylor,"Mia Young, Luke Garcia",Australia,"October 11, 2015",1995,NR,175 min,"Animation, Romance",A heartwarming family tale,6.5
s399,TV Show,Documentary Series 20,Amanda White,,United States,"April 16, 2021",2002,,10 Seasons,Crime,,8.9
s400,TV Show,Romance Stories 21,Michelle Rodriguez,"Oliver Green, Jake Wilson",France,"May 30, 2015",2002,TV-PG,3 Seasons,Sci-Fi & Fantasy,A historical drama,4.6
s401,Movie,Family Fun 3,Jennifer Lopez,"Isabella Adams, Oliver Green",Israel,"October 11, 2019",2011,PG-13,177 min,Romance,A documentary about life,7.6
s402,TV Show,Crime Investigation 28,Laura Miller,"Ryan Davis, Olivia Brown",Poland,"February 29, 2016",2024,TV-G,9 Seasons,Family,An action-packed thriller,6.6
s403,Movie,Documentary Life 15,Jessica Turner,"Oliver Green, Mia Young, Ethan Rodriguez, Tom Johnson","Malaysia, Philippines","January 01, 2018",2006,TV-Y7,121 min,,A thrilling adventure story,
s404,TV Show,Comedy Hour 24,Anthony Green,"Noah White, Sophie Taylor, Mia Young, Grace Martinez",Switzerland,"April 16, 2024",2017,TV-MA,7 Seasons,Crime,A documentary about life,7.8
s405,Movie,Comedy Central 65,Mark Thompson,"Charlotte Miller, Sophie Taylor, Noah White, Matt Anderson",United States,"January 19, 2022",1999,,199 min,War & Military,,9.1
s406,TV Show,Crime Investigation 41,Lisa Anderson,"Chloe Lopez, Matt Anderson, Charlotte Miller","Belgium, Colombia","May 24, 2022",1995,TV-MA,1 Season,"Horror, Historical",A sci-fi epic,
s407,Movie,Comedy Central 37,Lisa Anderson,"Ava Clark, Matt Anderson, Ethan Rodriguez, Olivia Brown, Isabella Adams",Singapore,"January 06, 2022",2016,TV-Y,175 min,Action & Adventure,A historical drama,7.4
s408,Movie,Action Hero 16,Amanda White,"Sophie Taylor, William Thompson","Italy, United Kingdom","January 04, 2021",2022,R,153 min,Crime,A heartwarming family tale,8.9
s409,TV Show,Action Pack 18,Michael Brown,"Oliver Green, Isabella Adams, Mia Young, William Thompson","Colombia, Mexico","March 21, 2017",2007,PG,10 Seasons,"Romance, Sci-Fi & Fantasy",An animated adventure,6.6
s410,Movie,Sports Champion 96,Christopher Lee,"Mia Young, Matt Anderson, Ava Clark, Charlotte Miller, Ryan Davis","Malaysia, Colombia","July 31, 2021",2023,G,89 min,Romance,A heartwarming family tale,6.2
s411,Movie,Comedy Central 100,John Smith,"Noah White, Matt Anderson","Thailand, Japan","April 29, 2019",2003,PG,131 min,"Drama, Biography, Western",A dark horror story,4.7
s412,TV Show,Romance Stories 32,,"Olivia Brown, Oliver Green",Belgium,"August 26, 2017",2008,,10 Seasons,"Family, Thriller, War & Military",A crime investigation story,4.7
s413,TV Show,Crime Investigation 2,,"Chloe Lopez, Luke Garcia, Noah White, Ava Clark, Ethan Rodriguez","Singapore, South Korea","May 31, 2019",2019,TV-MA,2 Seasons,"Horror, Action & Adventure, Documentary",A thrilling adventure story,
s414,Movie,Thriller Night 89,Maria Garcia,"Ava Clark, Charlotte Miller, Tom Johnson","Colombia, India","March 29, 2016",2009,,144 min,"War & Military, Animation",A mysterious drama series,5.1
s415,Movie,Thriller Night 19,Michelle Rodriguez,"William Thompson, Amelia Moore",Singapore,"February 23, 2018",2020,NC-17,135 min,Documentary,A musical journey,7.8
s416,Movie,Love Story 64,,,"Italy, Singapore","March 04, 2016",2023,TV-Y,139 min,"Western, Horror",An action-packed thriller,6.3
s417,Movie,Musical Dreams 80,Daniel Clark,"Mia Young, Sophie Taylor, Chloe Lopez, Olivia Brown","Germany, Argentina","March 09, 2015",2001,TV-G,195 min,Historical,A documentary about life,6.4
s418,Movie,Animation World 66,Kevin Young,"Emma Smith, Ethan Rodriguez",Philippines,"February 14, 2017",2007,TV-G,192 min,"Documentary, Horror",A thrilling adventure story,7.2
s419,Movie,Drama Queen 9,James Martinez,"Ethan Rodriguez, Amelia Moore, Olivia Brown, Grace Martinez, Luke Garcia",Turkey,"November 24, 2018",2008,PG,107 min,"Sports, Family",A musical journey,6.0
s420,TV Show,Mystery Show 11,Kevin Young,"Isabella Adams, Mia Young",Colombia,"November 18, 2024",1990,TV-G,10 Seasons,,An animated adventure,
s421,TV Show,Animation Fun 2,Jennifer Lopez,"Jake Wilson, Olivia Brown, Benjamin Turner","China, Singapore","March 29, 2023",2024,TV-G,5 Seasons,Mystery,A dark horror story,8.1
s422,TV Show,Animation Fun 39,James Martinez,"Jake Wilson, Mia Young",Australia,"January 03, 2019",2005,NR,7 Seasons,"Sci-Fi & Fantasy, War & Military",A romantic comedy,7.7
s423,Movie,Musical Dreams 68,Amanda White,"Benjamin Turner, Mia Young, Luke Garcia, Chloe Lopez, Matt Anderson",Sweden,"May 09, 2024",2017,TV-14,148 min,"Sports, Thriller, Musical",A crime investigation story,7.4
s424,Movie,Adventure Quest 39,Michael Brown,"Oliver Green, Emma Smith","Germany, South Korea","June 23, 2020",2017,G,72 min,Family,A crime investigation story,8.1
s425,Movie,Comedy Central 12,David Wilson,"Mia Young, Benjamin Turner, Ryan Davis",Norway,"October 15, 2017",2014,PG,126 min,"Romance, Biography",A dark horror story,5.2
s426,Movie,Horror House 33,Nicole Adams,"Ryan Davis, Chloe Lopez, Oliver Green, Sophie Taylor","Russia, France","July 21, 2016",2010,TV-MA,151 min,Biography,An animated adventure,
s427,Movie,War Stories 4,Michelle Rodriguez,"Amelia Moore, Chloe Lopez, Grace Martinez",Israel,"February 03, 2025",2008,,160 min,"Musical, Western",A thrilling adventure story,
s428,TV Show,Action Pack 42,Laura Miller,"Benjamin Turner, Isabella Adams, Noah White, Emma Smith",Malaysia,"April 17, 2023",2003,TV-PG,8 Seasons,"Thriller, Family, Western",A thrilling adventure story,7.4
s429,Movie,Horror House 15,,"William Thompson, Olivia Brown",United Kingdom,"May 03, 2024",2015,,91 min,Romance,A crime investigation story,7.4
s430,Movie,Musical Dreams 85,Michelle Rodriguez,"Sophie Taylor, Jake Wilson",Brazil,"September 26, 2020",2024,TV-G,134 min,Sports,A romantic comedy,7.8
s431,Movie,Dark Night 60,Michelle Rodriguez,"Oliver Green, Olivia Brown, Ethan Rodriguez, Tom Johnson",China,"June 24, 2015",2012,TV-G,177 min,"Mystery, Western, Sci-Fi & Fantasy",A musical journey,6.9
s432,TV Show,Comedy Hour 42,Mark Thompson,"Luke Garcia, Chloe Lopez, Ethan Rodriguez","Hong Kong, Belgium","April 16, 2020",2001,TV-PG,9 Seasons,"Mystery, War & Military",A thrilling adventure story,5.2
s433,Movie,Dark Night 86,Jessica Turner,"Grace Martinez, Olivia Brown, Sophie Taylor",Poland,"May 06, 2025",2006,NR,78 min,Action & Adventure,A dark horror story,
